Gene	logFC	logCPM	LR	PValue	FDR	Function
PITG_00364	5.53808848	0.36310758	20.00887887	7.71E-06	0.002172566	Putative uncharacterized protein
PITG_00792	-1.950856606	5.717728827	19.17723705	1.19E-05	0.002909839	Putative uncharacterized protein
PITG_00874	9.529772304	1.036311902	29.12794759	6.78E-08	4.14E-05	"Carbohydrate-binding protein, putative"
PITG_00948	6.378383582	1.182023932	17.84857658	2.39E-05	0.004960879	Putative uncharacterized protein
PITG_01196	9.469130412	0.979224456	27.9610896	1.24E-07	6.80E-05	Putative uncharacterized protein
PITG_01459	5.755172518	0.574265639	19.24741631	1.15E-05	0.002868554	Putative uncharacterized protein
PITG_02434	10.70005131	2.180139882	36.73590354	1.35E-09	2.12E-06	Putative uncharacterized protein
PITG_02435	9.996231502	1.489744111	32.0153757	1.53E-08	1.28E-05	Putative uncharacterized protein
PITG_02971	7.803872539	3.485340645	55.76573075	8.16E-14	4.49E-10	Putative uncharacterized protein
PITG_03297	4.801767443	0.549238741	17.21592293	3.34E-05	0.006667713	Putative uncharacterized protein
PITG_03663	10.38588536	1.869723522	30.83598112	2.81E-08	2.06E-05	Putative uncharacterized protein
PITG_03666	10.71489391	2.194838607	38.05243523	6.89E-10	1.33E-06	Putative uncharacterized protein
PITG_04865	5.56551732	1.280757078	18.43801835	1.76E-05	0.0039374	Putative uncharacterized protein
PITG_05907	6.460812121	2.158837522	30.26241482	3.77E-08	2.59E-05	Putative uncharacterized protein
PITG_06824	8.593157845	0.139292038	25.30281252	4.90E-07	0.000199482	Putative uncharacterized protein
PITG_07156	4.412749505	2.235092787	19.89849404	8.17E-06	0.002194755	"Serine protease family S10, putative"
PITG_07366	10.60983747	2.090793963	37.94372618	7.28E-10	1.33E-06	Putative uncharacterized protein
PITG_07371	9.092903722	0.615336442	25.89868577	3.60E-07	0.000162877	"Taurine dioxygenase, putative"
PITG_07775	6.232694143	1.034139228	22.64495473	1.95E-06	0.000669383	"Splicing factor 3B subunit, putative"
PITG_08079	9.013666976	0.533710002	25.84248562	3.70E-07	0.000162877	Putative uncharacterized protein
PITG_08297	9.420740856	0.923459324	23.13727568	1.51E-06	0.000552671	"Aquaporin, putative"
PITG_08491	-2.772784322	5.547731874	32.12199974	1.45E-08	1.28E-05	"12-oxophytodienoate reductase, putative"
PITG_08517	6.817083594	1.604072648	18.7139997	1.52E-05	0.003551665	Putative uncharacterized protein
PITG_08705	12.02557259	3.493035726	53.12254072	3.13E-13	1.15E-09	Putative uncharacterized protein
PITG_08758	4.682197519	0.440519311	18.60485504	1.61E-05	0.00368256	Chloride Channel (ClC) Family
PITG_08795	3.781885714	4.002035694	19.70750073	9.02E-06	0.002361879	Putative uncharacterized protein
PITG_09480	6.169079263	0.969533627	20.02880218	7.63E-06	0.002172566	Putative uncharacterized protein
PITG_09733	11.08211005	2.55591659	27.62803073	1.47E-07	7.70E-05	Putative uncharacterized protein
PITG_10290	7.111550642	2.800808466	32.06910111	1.49E-08	1.28E-05	"Alcohol dehydrogenase, putative"
PITG_10569	7.595198664	2.365236462	33.28725088	7.95E-09	8.74E-06	Putative uncharacterized protein
PITG_10933	5.162613637	0.896002306	19.89383163	8.19E-06	0.002194755	Putative uncharacterized protein
PITG_10934	3.928277829	2.047285079	16.96889163	3.80E-05	0.007458332	Putative uncharacterized protein
PITG_12552	10.1832	1.673910668	31.88837605	1.63E-08	1.28E-05	Putative uncharacterized protein
PITG_12739	5.845438378	0.660081885	22.39301101	2.22E-06	0.000740065	Putative uncharacterized protein
PITG_12920	6.074236274	2.332073942	28.33304715	1.02E-07	5.91E-05	Putative uncharacterized protein
PITG_13269	6.120177167	1.824139279	21.81512615	3.00E-06	0.000916684	Putative uncharacterized protein
PITG_13930	3.512037001	3.442472471	22.19404863	2.46E-06	0.000773951	"Avr2 family secreted RxLR effector peptide protein, putative"
PITG_14237	-3.932151183	4.848747801	63.79746365	1.38E-15	1.52E-11	"Glycoside hydrolase, putative"
PITG_14530	9.920908652	1.414578542	27.443655	1.62E-07	8.08E-05	Putative uncharacterized protein
PITG_15021	5.266272672	0.991833066	18.26357348	1.92E-05	0.004148278	Putative uncharacterized protein
PITG_15146	7.205148337	1.981414145	26.11543118	3.22E-07	0.000153699	Putative uncharacterized protein
PITG_15235	-2.320529686	3.851677149	18.26239706	1.92E-05	0.004148278	"Secreted RxLR effector peptide protein, putative"
PITG_15682	-3.190029072	2.323049155	23.77334541	1.08E-06	0.000410771	Putative uncharacterized protein
PITG_15980	-1.84380867	5.731104145	16.74788675	4.27E-05	0.008232388	"Glycoside hydrolase, putative"
PITG_16043	-1.833680331	6.013963465	16.45727018	4.98E-05	0.009430187	Putative uncharacterized protein
PITG_16981	2.88647023	4.08663626	18.82828005	1.43E-05	0.003417809	Thrombospondin-like protein
PITG_17441	-2.827125019	3.287614236	17.91378394	2.31E-05	0.004885965	Putative uncharacterized protein
PITG_18997	5.237243345	0.087820211	19.39939747	1.06E-05	0.002710691	ATP-binding Cassette (ABC) Superfamily
PITG_19631	10.82983438	2.307997243	34.73688554	3.77E-09	5.19E-06	Putative uncharacterized protein
PITG_20749	9.017328751	0.546906741	25.61883315	4.16E-07	0.000175855	Putative uncharacterized protein
PITG_21323	10.02015477	1.51226288	29.51233693	5.56E-08	3.59E-05	Putative uncharacterized protein
PITG_21364	9.501524044	1.011791417	22.2335062	2.41E-06	0.000773951	Putative uncharacterized protein
PITG_21660	5.869603434	0.684777026	22.75177566	1.84E-06	0.000653612	Trehalase (EC 3.2.1.28) (Alpha-trehalose glucohydrolase)
PITG_21776	6.527872	1.317316363	25.11264651	5.41E-07	0.000212291	Putative uncharacterized protein
PITG_22795	5.344552281	0.186102204	20.38017237	6.35E-06	0.001885994	Putative uncharacterized protein
PITG_23076	-2.070084811	3.759432098	17.49704419	2.88E-05	0.005857407	NPP1-like protein
PITG_23156	3.767004362	6.371092425	33.36763177	7.63E-09	8.74E-06	Small cysteine rich protein SCR58
PITG_23273	6.379379903	3.595819142	50.77000988	1.04E-12	2.85E-09	Crinkler (CRN) family protein
